Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-19,Korean Films,,https://boxd.it/PBA7c,

Position,Name,Year,URL,Description
1,I Saw the Devil,2010,https://boxd.it/FaK,
2,Oldboy,2003,https://boxd.it/29R2,
3,The Handmaiden,2016,https://boxd.it/948A,
4,Memories of Murder,2003,https://boxd.it/1TSo,
5,The Call,2020,https://boxd.it/l94W,
6,Train to Busan,2016,https://boxd.it/dSQU,
7,Parasite,2019,https://boxd.it/hTha,
8,The Wailing,2016,https://boxd.it/9fLy,
9,"The Gangster, the Cop, the Devil",2019,https://boxd.it/lnuk,
10,Squid Game,2021,https://boxd.it/x1OG,
11,All of Us Are Dead,2022,https://boxd.it/zeGO,
12,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
