Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-19,Malayalam Films,"malayalam, indian",https://boxd.it/PBxDY,"My List of Malayalam films, that I have watched till now"

Position,Name,Year,URL,Description
1,Iratta,2023,https://boxd.it/zELA,
2,Premalu,2024,https://boxd.it/HuK4,
3,Officer on Duty,2025,https://boxd.it/MSnS,
4,Minnal Murali,2021,https://boxd.it/osLw,
5,2018,2023,https://boxd.it/wKhA,
6,Ayyappanum Koshiyum,2020,https://boxd.it/otGi,
7,Thudarum,2025,https://boxd.it/M3Yy,
8,CBI 5: The Brain,2022,https://boxd.it/kSzI,
9,Bougainvillea,2024,https://boxd.it/IElg,
10,Anweshippin Kandethum,2024,https://boxd.it/vtaA,
11,Tourist Family,2025,https://boxd.it/RNEO,
12,Abraham Ozler,2024,https://boxd.it/IV9w,
13,Hridayam,2022,https://boxd.it/ohO0,
14,Malik,2021,https://boxd.it/oLgC,
15,Manjummel Boys,2024,https://boxd.it/EtUc,
16,Lucifer,2019,https://boxd.it/kHxw,
17,L2: Empuraan,2025,https://boxd.it/nexo,
18,Marco,2024,https://boxd.it/J0ka,
19,Forensic,2020,https://boxd.it/pe54,
20,Kumbalangi Nights,2019,https://boxd.it/l8wA,
21,Rekhachithram,2025,https://boxd.it/NfZ6,
22,Kishkindha Kaandam,2024,https://boxd.it/CLOM,
23,Sookshmadarshini,2024,https://boxd.it/zRX0,
24,Anjaam Pathiraa,2020,https://boxd.it/osoi,
25,Drishyam 2,2021,https://boxd.it/qsak,
26,12th Man,2022,https://boxd.it/vZta,
27,Penguin,2020,https://boxd.it/qI5q,
28,Aavesham,2024,https://boxd.it/F2fe,
29,Joji,2021,https://boxd.it/tMgS,
30,Lokah Chapter 1: Chandra,2025,https://boxd.it/NelO,
31,Nayattu,2021,https://boxd.it/sjf0,
32,Bramayugam,2024,https://boxd.it/Iekc,
33,The Goat Life,2024,https://boxd.it/gVZQ,
34,Bro Daddy,2022,https://boxd.it/vLNU,
35,Jana Gana Mana,2022,https://boxd.it/tOpC,
36,Driving Licence,2019,https://boxd.it/oquo,
37,Guruvayoor Ambalanadayil,2024,https://boxd.it/Eqle,
38,Curry & Cyanide: The Jolly Joseph Case,2023,https://boxd.it/Kdcq,
39,Romancham,2023,https://boxd.it/ARRe,
40,Pulimurugan,2016,https://boxd.it/bUgA,
41,Neru,2023,https://boxd.it/I3S8,
42,Kannur Squad,2023,https://boxd.it/EkOu,
43,Vaazha,2024,https://boxd.it/J7TG,
44,Trance,2020,https://boxd.it/lIWO,
45,Kurup,2021,https://boxd.it/txTK,
46,Ustad Hotel,2012,https://boxd.it/3UNy,
