Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-19,Tamil Films,,https://boxd.it/PBz3I,List of Tamil Films That I have watched

Position,Name,Year,URL,Description
1,Kaithi,2019,https://boxd.it/lBLY,
2,Mersal,2017,https://boxd.it/gicK,
3,Bigil,2019,https://boxd.it/kDlQ,
4,Sardar,2022,https://boxd.it/wpuI,
5,Leo,2023,https://boxd.it/zOWS,
6,Vaaranam Aayiram,2008,https://boxd.it/15yo,
7,7Aum Arivu,2011,https://boxd.it/357Q,
8,Dhuruvangal Pathinaaru,2016,https://boxd.it/eCLG,
9,Maanaadu,2021,https://boxd.it/ju24,
10,Parking,2023,https://boxd.it/Iyga,
11,Lubber Pandhu,2024,https://boxd.it/FvlK,
12,Karnan,2021,https://boxd.it/pnSa,
13,Varisu,2023,https://boxd.it/vuNo,
14,Thuppakki,2012,https://boxd.it/4yY2,
15,Good Bad Ugly,2025,https://boxd.it/M11k,
16,Vaathi,2023,https://boxd.it/yBN2,
17,Retro,2025,https://boxd.it/MfqS,
18,Jagame Thandhiram,2021,https://boxd.it/op5C,
19,Coolie,2025,https://boxd.it/HDVK,
20,Jailer,2023,https://boxd.it/zkA8,
21,Doctor,2021,https://boxd.it/p5Ps,
22,Beast,2022,https://boxd.it/u7XI,
23,Remo,2016,https://boxd.it/e9Pk,
24,Asuran,2019,https://boxd.it/lbR2,
25,Jai Bhim,2021,https://boxd.it/wj82,
26,2.0,2018,https://boxd.it/cXRm,
27,Jigarthanda DoubleX,2023,https://boxd.it/C4xI,
28,Dragon,2025,https://boxd.it/Mxns,
29,Love Today,2022,https://boxd.it/D3KI,
30,Vikram,2022,https://boxd.it/rUJa,
31,Indian 2: Zero Tolerance,2024,https://boxd.it/kbw2,
32,Chithha,2023,https://boxd.it/GbIc,
33,Maaveeran,2023,https://boxd.it/Bktq,
34,Raayan,2024,https://boxd.it/GYru,
35,Mark Antony,2023,https://boxd.it/yJKA,
36,Pichaikkaran 2,2023,https://boxd.it/s9do,
37,Pichaikkaran,2016,https://boxd.it/dkw2,
38,Vaazhai,2024,https://boxd.it/DNee,
39,The Greatest of All Time,2024,https://boxd.it/GIkW,
40,Master,2021,https://boxd.it/nbII,
41,Theri,2016,https://boxd.it/cPGq,
42,Dasavatharam,2008,https://boxd.it/1HV6,
43,Sarpatta Parambarai,2021,https://boxd.it/tX36,
44,24,2016,https://boxd.it/cKPi,
45,Raja Rani,2013,https://boxd.it/6DKS,
46,Kannum Kannum Kollaiyadithaal,2020,https://boxd.it/iij6,
47,Don,2022,https://boxd.it/xOoC,
48,Maari,2015,https://boxd.it/9ZFw,
49,Maari 2,2018,https://boxd.it/hMlu,
50,Velaiyilla Pattathari,2014,https://boxd.it/7OWi,
51,Velaiyilla Pattathari 2,2017,https://boxd.it/ghpe,
52,Maattrraan,2012,https://boxd.it/4tIe,
53,Singam,2010,https://boxd.it/axI,
54,Singam 2,2013,https://boxd.it/5N2a,
55,Si 3,2017,https://boxd.it/d5cm,
56,Yavarum Nalam,2009,https://boxd.it/1Ekm,
57,Ko,2011,https://boxd.it/6p6,
58,Nanban,2012,https://boxd.it/2hYK,
59,Ponniyin Selvan: Part I,2022,https://boxd.it/oz24,
60,Ponniyin Selvan: Part II,2023,https://boxd.it/wpuS,
